Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
BLOSSOM RESIDENCES,"750,000",753.48,995,1-Oct-19,30 SEGAR ROAD #04-01,Resale,Strata,70,"10,714",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,Private,677721,23,67,West Region,Bukit Panjang
PIERMONT GRAND,"1,478,400","1,334.74","1,108",1-Oct-19,26 SUMANG WALK #05-11,New Sale,Strata,124,"11,923",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828618,19,82,North East Region,Punggol
AUSTVILLE RESIDENCES,"860,000","1,033.34",832,1-Oct-19,19 SENGKANG EAST AVENUE #05-19,Resale,Strata,96,"8,958",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,Private,544808,19,54,North East Region,Sengkang
RIVERPARC RESIDENCE,"995,000","1,076.40",924,2-Oct-19,96 PUNGGOL DRIVE #13-15,Resale,Strata,100,"9,950",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828797,19,82,North East Region,Punggol
PIERMONT GRAND,"1,680,200","1,506.96","1,115",2-Oct-19,26 SUMANG WALK #07-10,New Sale,Strata,140,"12,001",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828618,19,82,North East Region,Punggol
AUSTVILLE RESIDENCES,"918,000","1,033.34",888,2-Oct-19,11 SENGKANG EAST AVENUE #17-02,Resale,Strata,96,"9,563",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544804,19,54,North East Region,Sengkang
BELYSA,"1,150,000","1,420.85",809,2-Oct-19,57 PASIR RIS DRIVE 1 #02-11,Resale,Strata,132,"8,712",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,HDB,519531,18,51,East Region,Pasir Ris
ESPARINA RESIDENCES,"1,250,000","1,065.64","1,173",2-Oct-19,123 COMPASSVALE BOW #09-28,Resale,Strata,99,"12,626",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544819,19,54,North East Region,Sengkang
WOODSVALE,"770,000","1,291.68",596,3-Oct-19,3 WOODLANDS DRIVE 72 #07-05,Resale,Strata,120,"6,417",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,738090,25,73,North Region,Woodlands
BLOSSOM RESIDENCES,"1,203,800","1,496.20",805,3-Oct-19,32 SEGAR ROAD #15-17,Resale,Strata,139,"8,660",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,Private,677722,23,67,West Region,Bukit Panjang
ESPARINA RESIDENCES,"885,000",828.83,"1,068",3-Oct-19,111 COMPASSVALE BOW #03-01,Resale,Strata,77,"11,494",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544998,19,54,North East Region,Sengkang
PARK GREEN,"1,200,000","1,528.49",785,3-Oct-19,2 RIVERVALE LINK #08-04,Resale,Strata,142,"8,451",-,Executive Condominium,1,99 yrs from 17/08/2001,2004,HDB,545040,19,54,North East Region,Sengkang
THE CANOPY,"743,000",871.88,852,3-Oct-19,81 YISHUN AVENUE 11 #11-26,Resale,Strata,81,"9,173",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768863,27,76,North Region,Yishun
THE FLORAVALE,"840,000","1,399.32",600,3-Oct-19,220 WESTWOOD AVENUE #04-05,Resale,Strata,130,"6,462",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,Private,648352,22,64,West Region,Jurong West
RIVERPARC RESIDENCE,"850,000",990.29,858,4-Oct-19,100 PUNGGOL DRIVE #10-21,Resale,Strata,92,"9,239",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828799,19,82,North East Region,Punggol
AUSTVILLE RESIDENCES,"748,000",785.77,952,4-Oct-19,21 SENGKANG EAST AVENUE #06-26,Resale,Strata,73,"10,247",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544809,19,54,North East Region,Sengkang
AUSTVILLE RESIDENCES,"885,000","1,022.58",865,4-Oct-19,13 SENGKANG EAST AVENUE #03-09,Resale,Strata,95,"9,316",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544805,19,54,North East Region,Sengkang
BLOSSOM RESIDENCES,"710,000",753.48,942,4-Oct-19,30 SEGAR ROAD #10-02,Resale,Strata,70,"10,143",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677721,23,67,West Region,Bukit Panjang
BLOSSOM RESIDENCES,"950,000","1,054.87",901,4-Oct-19,30 SEGAR ROAD #11-04,Resale,Strata,98,"9,694",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677721,23,67,West Region,Bukit Panjang
THE EDEN AT TAMPINES,"988,000","1,237.86",798,4-Oct-19,23 TAMPINES STREET 34 #10-14,Resale,Strata,115,"8,591",-,Executive Condominium,1,99 yrs from 12/09/2000,2003,HDB,529233,18,52,East Region,Tampines
PRIVE,"1,430,000","1,442.38",991,4-Oct-19,31 PUNGGOL FIELD #11-06,Resale,Strata,134,"10,672",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,Private,828816,19,82,North East Region,Punggol
THE QUINTET,"1,190,000","1,571.54",757,4-Oct-19,42 CHOA CHU KANG STREET 64 #04-16,Resale,Strata,146,"8,151",-,Executive Condominium,1,99 yrs from 22/01/2003,2006,Private,689104,23,68,West Region,Choa Chu Kang
PIERMONT GRAND,"1,372,800","1,302.44","1,054",6-Oct-19,32 SUMANG WALK #06-23,New Sale,Strata,121,"11,345",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828621,19,82,North East Region,Punggol
PIERMONT GRAND,"961,700",839.59,"1,145",6-Oct-19,44 SUMANG WALK #10-47,New Sale,Strata,78,"12,329",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828627,19,82,North East Region,Punggol
BLOSSOM RESIDENCES,"1,070,000","1,108.69",965,7-Oct-19,34 SEGAR ROAD #04-27,Resale,Strata,103,"10,388",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,Private,677723,23,67,West Region,Bukit Panjang
LA CASA,"700,000",871.88,803,7-Oct-19,56 WOODLANDS DRIVE 16 #05-16,Resale,Strata,81,"8,642",-,Executive Condominium,1,99 yrs from 13/09/2004,2008,Private,737898,25,73,North Region,Woodlands
RIVERPARC RESIDENCE,"875,000",990.29,884,8-Oct-19,96 PUNGGOL DRIVE #14-14,Resale,Strata,92,"9,511",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828797,19,82,North East Region,Punggol
ESPARINA RESIDENCES,"938,000",828.83,"1,132",8-Oct-19,111 COMPASSVALE BOW #15-04,Resale,Strata,77,"12,182",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544998,19,54,North East Region,Sengkang
BISHAN LOFT,"1,650,000","1,377.79","1,198",8-Oct-19,31 BISHAN STREET 11 #17-02,Resale,Strata,128,"12,891",-,Executive Condominium,1,99 yrs from 13/12/2000,2003,HDB,579819,20,57,Central Region,Bishan
PRIVE,"1,135,000","1,054.87","1,076",8-Oct-19,35 PUNGGOL FIELD #10-23,Resale,Strata,98,"11,582",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828818,19,82,North East Region,Punggol
AUSTVILLE RESIDENCES,"905,000","1,033.34",876,8-Oct-19,11 SENGKANG EAST AVENUE #11-02,Resale,Strata,96,"9,427",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544804,19,54,North East Region,Sengkang
ARC AT TAMPINES,"1,190,000","1,227.10",970,8-Oct-19,9 TAMPINES AVENUE 8 #13-14,Resale,Strata,114,"10,439",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,HDB,529598,18,52,East Region,Tampines
PRIVE,"1,080,000","1,054.87","1,024",8-Oct-19,35 PUNGGOL FIELD #07-28,Resale,Strata,98,"11,020",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828818,19,82,North East Region,Punggol
PRIVE,"800,000",828.83,965,8-Oct-19,37 PUNGGOL FIELD #05-31,Resale,Strata,77,"10,390",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,Private,828809,19,82,North East Region,Punggol
NORTHOAKS,"835,000","1,291.68",646,9-Oct-19,22 WOODLANDS CRESCENT #09-38,Resale,Strata,120,"6,958",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738082,25,73,North Region,Woodlands
ARC AT TAMPINES,"1,240,000","1,227.10","1,011",9-Oct-19,9 TAMPINES AVENUE 8 #16-14,Resale,Strata,114,"10,877",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,Private,529598,18,52,East Region,Tampines
BLOSSOM RESIDENCES,"850,000",968.76,877,9-Oct-19,30 SEGAR ROAD #12-10,Resale,Strata,90,"9,444",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677721,23,67,West Region,Bukit Panjang
RIVERPARC RESIDENCE,"1,335,000","1,485.43",899,9-Oct-19,92 PUNGGOL DRIVE #04-05,Resale,Strata,138,"9,674",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,Private,828795,19,82,North East Region,Punggol
THE FLORIDA,"950,000","1,388.56",684,9-Oct-19,70 HOUGANG AVENUE 7 #10-07,Resale,Strata,129,"7,364",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,538804,19,53,North East Region,Hougang
BELYSA,"768,000",828.83,927,9-Oct-19,55 PASIR RIS DRIVE 1 #07-01,Resale,Strata,77,"9,974",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,N.A,519530,18,51,East Region,Pasir Ris
PIERMONT GRAND,"1,545,600","1,560.78",990,9-Oct-19,30 SUMANG WALK #10-18,New Sale,Strata,145,"10,659",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828620,19,82,North East Region,Punggol
NORTHOAKS,"790,000","1,248.62",633,10-Oct-19,32 WOODLANDS CRESCENT #12-04,Resale,Strata,116,"6,810",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738087,25,73,North Region,Woodlands
PIERMONT GRAND,"1,204,000","1,130.22","1,065",10-Oct-19,40 SUMANG WALK #09-38,New Sale,Strata,105,"11,467",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828625,19,82,North East Region,Punggol
NORTHOAKS,"767,000","1,248.62",614,10-Oct-19,32 WOODLANDS CRESCENT #06-08,Resale,Strata,116,"6,612",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738087,25,73,North Region,Woodlands
ESPARINA RESIDENCES,"1,150,000","1,065.64","1,079",10-Oct-19,123 COMPASSVALE BOW #03-26,Resale,Strata,99,"11,616",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544819,19,54,North East Region,Sengkang
PIERMONT GRAND,"1,091,800","1,044.11","1,046",10-Oct-19,42 SUMANG WALK #07-46,New Sale,Strata,97,"11,256",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
NORTHOAKS,"760,000","1,248.62",609,10-Oct-19,30 WOODLANDS CRESCENT #11-09,Resale,Strata,116,"6,552",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738086,25,73,North Region,Woodlands
PIERMONT GRAND,"1,036,000",968.76,"1,069",11-Oct-19,42 SUMANG WALK #15-45,New Sale,Strata,90,"11,511",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,Private,828626,19,82,North East Region,Punggol
WINDERMERE,"890,000","1,453.14",612,11-Oct-19,26 CHOA CHU KANG STREET 64 #10-01,Resale,Strata,135,"6,593",-,Executive Condominium,1,99 yrs from 03/03/1997,1999,Private,689096,23,68,West Region,Choa Chu Kang
HUNDRED PALMS RESIDENCES,"1,000,400",882.65,"1,133",11-Oct-19,270 YIO CHU KANG ROAD #06-23,New Sale,Strata,82,"12,200",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,HDB,545686,19,54,North East Region,Hougang
HUNDRED PALMS RESIDENCES,"1,452,200","1,323.97","1,097",11-Oct-19,260 YIO CHU KANG ROAD #14-03,New Sale,Strata,123,"11,807",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,Private,545681,19,54,North East Region,Hougang
HUNDRED PALMS RESIDENCES,"1,030,400",882.65,"1,167",11-Oct-19,270 YIO CHU KANG ROAD #12-23,New Sale,Strata,82,"12,566",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,N.A,545686,19,54,North East Region,Hougang
HUNDRED PALMS RESIDENCES,"1,028,200",882.65,"1,165",11-Oct-19,272 YIO CHU KANG ROAD #11-28,New Sale,Strata,82,"12,539",-,Executive Condominium,1,99 yrs from 30/05/2016,2019,Private,545687,19,54,North East Region,Hougang
HUNDRED PALMS RESIDENCES,"987,800",882.65,"1,119",11-Oct-19,276 YIO CHU KANG ROAD #05-36,New Sale,Strata,82,"12,046",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,HDB,544604,19,54,North East Region,Hougang
HUNDRED PALMS RESIDENCES,"1,049,200",968.76,"1,083",11-Oct-19,266 YIO CHU KANG ROAD #01-14,New Sale,Strata,90,"11,658",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,HDB,545684,19,54,North East Region,Hougang
PIERMONT GRAND,"1,089,400","1,044.11","1,043",11-Oct-19,42 SUMANG WALK #06-46,New Sale,Strata,97,"11,231",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
PIERMONT GRAND,"1,695,000","1,539.25","1,101",11-Oct-19,22 SUMANG WALK #01-02,New Sale,Strata,143,"11,853",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828677,19,82,North East Region,Punggol
HUNDRED PALMS RESIDENCES,"1,222,300","1,130.22","1,081",11-Oct-19,260 YIO CHU KANG ROAD #01-04,New Sale,Strata,105,"11,641",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,N.A,545681,19,54,North East Region,Hougang
PIERMONT GRAND,"1,645,600","1,539.25","1,069",12-Oct-19,22 SUMANG WALK #01-03,New Sale,Strata,143,"11,508",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828677,19,82,North East Region,Punggol
RIVERPARC RESIDENCE,"988,000","1,076.40",918,14-Oct-19,92 PUNGGOL DRIVE #17-08,Resale,Strata,100,"9,880",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828795,19,82,North East Region,Punggol
BELYSA,"1,150,000","1,334.74",862,14-Oct-19,57 PASIR RIS DRIVE 1 #13-08,Resale,Strata,124,"9,274",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,Private,519531,18,51,East Region,Pasir Ris
ESPARINA RESIDENCES,"890,000",828.83,"1,074",14-Oct-19,121 COMPASSVALE BOW #07-24,Resale,Strata,77,"11,558",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544818,19,54,North East Region,Sengkang
ARC AT TAMPINES,"1,200,000","1,420.85",845,15-Oct-19,7 TAMPINES AVENUE 8 #10-11,Resale,Strata,132,"9,091",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,Private,529597,18,52,East Region,Tampines
NORTHWAVE,"832,000",893.41,931,15-Oct-19,103 WOODLANDS VIEW #03-05,New Sale,Strata,83,"10,024",-,Executive Condominium,1,99 yrs from 25/05/2015,2019,HDB,737709,25,73,North Region,Woodlands
PIERMONT GRAND,"1,238,400","1,130.22","1,096",15-Oct-19,36 SUMANG WALK #02-31,New Sale,Strata,105,"11,794",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828623,19,82,North East Region,Punggol
ARC AT TAMPINES,"1,210,000","1,420.85",852,15-Oct-19,7 TAMPINES AVENUE 8 #07-11,Resale,Strata,132,"9,167",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,HDB,529597,18,52,East Region,Tampines
AUSTVILLE RESIDENCES,"865,000","1,022.58",846,15-Oct-19,13 SENGKANG EAST AVENUE #13-07,Resale,Strata,95,"9,105",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,N.A,544805,19,54,North East Region,Sengkang
PIERMONT GRAND,"1,045,700",990.29,"1,056",16-Oct-19,38 SUMANG WALK #17-36,New Sale,Strata,92,"11,366",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828624,19,82,North East Region,Punggol
AUSTVILLE RESIDENCES,"895,000","1,022.58",875,16-Oct-19,13 SENGKANG EAST AVENUE #03-10,Resale,Strata,95,"9,421",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544805,19,54,North East Region,Sengkang
BLOSSOM RESIDENCES,"703,000",753.48,933,16-Oct-19,30 SEGAR ROAD #09-02,Resale,Strata,70,"10,043",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677721,23,67,West Region,Bukit Panjang
HUNDRED PALMS RESIDENCES,"1,038,300",914.94,"1,135",16-Oct-19,268 YIO CHU KANG ROAD #03-17,New Sale,Strata,85,"12,215",-,Executive Condominium,1,99 yrs from 30/05/2016,Uncompleted,HDB,545685,19,54,North East Region,Hougang
THE FLORAVALE,"835,000","1,237.86",675,16-Oct-19,242 WESTWOOD AVENUE #10-52,Resale,Strata,115,"7,261",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648365,22,64,West Region,Jurong West
PIERMONT GRAND,"1,023,200",904.18,"1,132",17-Oct-19,44 SUMANG WALK #14-48,New Sale,Strata,84,"12,181",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828627,19,82,North East Region,Punggol
THE RIVERVALE,"945,000","1,313.21",720,17-Oct-19,1 RIVERVALE LINK #10-15,Resale,Strata,122,"7,746",-,Executive Condominium,1,99 yrs from 18/12/1997,2000,Private,545118,19,54,North East Region,Sengkang
RIVERPARC RESIDENCE,"1,120,000","1,237.86",905,17-Oct-19,90 PUNGGOL DRIVE #08-01,Resale,Strata,115,"9,739",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828794,19,82,North East Region,Punggol
PIERMONT GRAND,"1,503,200","1,571.54",957,18-Oct-19,24 SUMANG WALK #17-05,New Sale,Strata,146,"10,296",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828678,19,82,North East Region,Punggol
RIVERPARC RESIDENCE,"860,000",990.29,868,18-Oct-19,100 PUNGGOL DRIVE #11-21,Resale,Strata,92,"9,348",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828799,19,82,North East Region,Punggol
WOODSVALE,"750,000","1,291.68",581,18-Oct-19,9 WOODLANDS DRIVE 72 #07-19,Resale,Strata,120,"6,250",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,738093,25,73,North Region,Woodlands
NORTHOAKS,"790,000","1,248.62",633,18-Oct-19,32 WOODLANDS CRESCENT #10-05,Resale,Strata,116,"6,810",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738087,25,73,North Region,Woodlands
LA CASA,"780,000","1,140.98",684,18-Oct-19,50 WOODLANDS DRIVE 16 #07-02,Resale,Strata,106,"7,358",-,Executive Condominium,1,99 yrs from 13/09/2004,2008,Private,737901,25,73,North Region,Woodlands
TWIN FOUNTAINS,"918,000","1,033.34",888,18-Oct-19,19A WOODLANDS AVENUE 6 #14-32,Resale,Strata,96,"9,563",-,Executive Condominium,1,99 yrs from 19/12/2012,2016,HDB,739000,25,73,North Region,Woodlands
ESPARINA RESIDENCES,"1,238,000","1,065.64","1,162",18-Oct-19,115 COMPASSVALE BOW #14-12,Resale,Strata,99,"12,505",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544815,19,54,North East Region,Sengkang
PIERMONT GRAND,"1,036,000",968.76,"1,069",19-Oct-19,42 SUMANG WALK #15-44,New Sale,Strata,90,"11,511",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
SUMMERDALE,"860,000","1,194.80",720,21-Oct-19,8 BOON LAY DRIVE #10-18,Resale,Strata,111,"7,748",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,649928,22,64,West Region,Jurong West
PRIVE,"1,088,888","1,097.93",992,21-Oct-19,33 PUNGGOL FIELD #16-17,Resale,Strata,102,"10,675",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828817,19,82,North East Region,Punggol
ESPARINA RESIDENCES,"1,200,000","1,065.64","1,126",21-Oct-19,115 COMPASSVALE BOW #05-09,Resale,Strata,99,"12,121",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544815,19,54,North East Region,Sengkang
ESPARINA RESIDENCES,"942,000",828.83,"1,137",21-Oct-19,121 COMPASSVALE BOW #09-24,Resale,Strata,77,"12,234",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544818,19,54,North East Region,Sengkang
BELYSA,"918,000","1,087.16",844,22-Oct-19,55 PASIR RIS DRIVE 1 #03-03,Resale,Strata,101,"9,089",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,HDB,519530,18,51,East Region,Pasir Ris
AUSTVILLE RESIDENCES,"930,000","1,022.58",909,22-Oct-19,21 SENGKANG EAST AVENUE #16-22,Resale,Strata,95,"9,789",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544809,19,54,North East Region,Sengkang
PIERMONT GRAND,"1,206,400","1,130.22","1,067",22-Oct-19,40 SUMANG WALK #02-38,New Sale,Strata,105,"11,490",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828625,19,82,North East Region,Punggol
THE FLORAVALE,"814,000","1,248.62",652,22-Oct-19,226 WESTWOOD AVENUE #04-19,Resale,Strata,116,"7,017",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,Private,648357,22,64,West Region,Jurong West
WHITEWATER,"825,000","1,140.98",723,22-Oct-19,27 PASIR RIS STREET 72 #06-14,Resale,Strata,106,"7,783",-,Executive Condominium,1,99 yrs from 23/07/2002,2005,HDB,518767,18,51,East Region,Pasir Ris
PIERMONT GRAND,"1,468,800","1,334.74","1,100",23-Oct-19,28 SUMANG WALK #06-14,New Sale,Strata,124,"11,845",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828619,19,82,North East Region,Punggol
THE FLORIDA,"880,000","1,291.68",681,23-Oct-19,76 HOUGANG AVENUE 7 #03-18,Resale,Strata,120,"7,333",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,538807,19,53,North East Region,Hougang
THE FLORAVALE,"808,000","1,291.68",626,23-Oct-19,226 WESTWOOD AVENUE #09-17,Resale,Strata,120,"6,733",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648357,22,64,West Region,Jurong West
BLOSSOM RESIDENCES,"1,300,000","1,539.25",845,23-Oct-19,34 SEGAR ROAD #18-31,Resale,Strata,143,"9,091",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677723,23,67,West Region,Bukit Panjang
PRIVE,"1,110,000","1,087.16","1,021",23-Oct-19,37 PUNGGOL FIELD #06-37,Resale,Strata,101,"10,990",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828809,19,82,North East Region,Punggol
CHESTERVALE,"838,000","1,410.08",594,24-Oct-19,33 BANGKIT ROAD #04-02,Resale,Strata,131,"6,397",-,Executive Condominium,1,99 yrs from 17/03/1997,1999,HDB,679974,23,67,West Region,Bukit Panjang
PIERMONT GRAND,"1,097,600","1,184.04",927,25-Oct-19,42 SUMANG WALK #17-44,New Sale,Strata,110,"9,978",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
RIVERPARC RESIDENCE,"1,080,000","1,237.86",872,25-Oct-19,98 PUNGGOL DRIVE #03-19,Resale,Strata,115,"9,391",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,Private,828798,19,82,North East Region,Punggol
PARK GREEN,"1,250,000","1,550.02",806,25-Oct-19,8 RIVERVALE LINK #11-14,Resale,Strata,144,"8,681",-,Executive Condominium,1,99 yrs from 17/08/2001,2004,Private,545043,19,54,North East Region,Sengkang
ESPARINA RESIDENCES,"925,000",828.83,"1,116",25-Oct-19,111 COMPASSVALE BOW #16-04,Resale,Strata,77,"12,013",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544998,19,54,North East Region,Sengkang
ARC AT TAMPINES,"955,000",958,997,25-Oct-19,7 TAMPINES AVENUE 8 #12-10,Resale,Strata,89,"10,730",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,HDB,529597,18,52,East Region,Tampines
PARK GREEN,"910,000","1,184.04",769,25-Oct-19,8 RIVERVALE LINK #09-15,Resale,Strata,110,"8,273",-,Executive Condominium,1,99 yrs from 17/08/2001,2004,Private,545043,19,54,North East Region,Sengkang
THE CANOPY,"850,000","1,033.34",823,25-Oct-19,73 YISHUN AVENUE 11 #07-08,Resale,Strata,96,"8,854",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768859,27,76,North Region,Yishun
ESPARINA RESIDENCES,"908,000",828.83,"1,096",25-Oct-19,111 COMPASSVALE BOW #08-01,Resale,Strata,77,"11,792",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544998,19,54,North East Region,Sengkang
PIERMONT GRAND,"1,612,800","1,506.96","1,070",27-Oct-19,22 SUMANG WALK #08-02,New Sale,Strata,140,"11,520",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828677,19,82,North East Region,Punggol
PIERMONT GRAND,"1,392,800","1,302.44","1,069",27-Oct-19,32 SUMANG WALK #11-23,New Sale,Strata,121,"11,511",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,Private,828621,19,82,North East Region,Punggol
PIERMONT GRAND,"1,669,500","1,506.96","1,108",28-Oct-19,26 SUMANG WALK #05-10,New Sale,Strata,140,"11,925",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828618,19,82,North East Region,Punggol
PIERMONT GRAND,"1,530,200","1,334.74","1,146",28-Oct-19,28 SUMANG WALK #10-14,New Sale,Strata,124,"12,340",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828619,19,82,North East Region,Punggol
ARC AT TAMPINES,"788,000",807.3,976,29-Oct-19,17 TAMPINES AVENUE 8 #13-26,Resale,Strata,75,"10,507",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,Private,529602,18,52,East Region,Tampines
AUSTVILLE RESIDENCES,"740,000",785.77,942,29-Oct-19,21 SENGKANG EAST AVENUE #07-20,Resale,Strata,73,"10,137",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544809,19,54,North East Region,Sengkang
NUOVO,"1,058,000","1,119.46",945,29-Oct-19,25 ANG MO KIO AVENUE 9 #06-16,Resale,Strata,104,"10,173",-,Executive Condominium,1,99 yrs from 02/05/2001,2004,Private,569788,20,56,North East Region,Ang Mo Kio
WESTMERE,"1,023,000","1,248.62",819,29-Oct-19,77 JURONG EAST STREET 13 #14-01,Resale,Strata,116,"8,819",-,Executive Condominium,1,99 yrs from 26/06/1996,1999,Private,609653,22,60,West Region,Jurong East
THE FLORAVALE,"800,000","1,323.97",604,30-Oct-19,230 WESTWOOD AVENUE #04-26,Resale,Strata,123,"6,504",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648359,22,64,West Region,Jurong West
BELYSA,"918,000","1,033.34",888,30-Oct-19,57 PASIR RIS DRIVE 1 #09-10,Resale,Strata,96,"9,563",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,Private,519531,18,51,East Region,Pasir Ris
